Season,OfficialID,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,DOB,POB,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,Headshot,Initials,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus
2023,20017,42,Otaro,Alaka,,LB,,O. Alaka,6030,1996-05-18,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Otaro_Alaka_20017.png,,Texas A&M,Active
2023,20041,14,Kevin,Anderson,,QB,,K. Anderson,6007,1994-09-14,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kevin_Anderson_20041.png,,Fordham,Active
2023,20050,19,Brandon,Arconado,,WR,,B. Arconado,5116,1997-08-08,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Arconado_20050.png,,Washington St,Active
2023,20089,72,T.J.,Barnes,,DL,,T. Barnes,6062,1990-06-14,,,,,,,,,,1,,,,Georgia Tech,Active
2023,20099,41,De Vante,Bausby,,DB,,D. Bausby,6005,1993-01-15,,,,,,,,,,1,,,,Pittsburg St-Ks,Active
2023,20123,88,Shaun,Beyer,,TE,,S. Beyer,6047,1996-11-11,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Shaun_Beyer_20123.png,,Iowa,Active
2023,20212,29,Shakur,Brown,,DB,,S. Brown,5096,1999-04-01,,,,,,,,,,1,,,,Michigan St,Active
2023,20270,22,Jamal,Carter,,DB,,J. Carter,6007,1994-04-12,,,,,,,,,,1,,,,Miami-Fl,Active
2023,20296,45,Will,Clarke,,DL,,W. Clarke,6061,1991-05-04,,,,,,,,,,1,,,,West Virginia,Active
2023,20331,58,Doug,Costin,,DL,,D. Costin,6020,1997-10-05,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Doug_Costin_20331.png,,Miami-Oh,Active
2023,20448,15,Alex,Ellis,,TE,,A. Ellis,6044,1993-02-10,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Alex_Ellis_20448.png,,Tennessee,Active
2023,20496,64,Brian,Folkerts,,OL,,B. Folkerts,6035,1990-01-30,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Folkerts_20496.png,,Washburn,Active
2023,20502,23,Keith,Ford,,RB,,K. Ford,5101,,,,,,,,,,,1,,,,Texas A&M,Active
2023,20589,37,Nasir,Greer,,DB,,N. Greer,6006,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nasir_Greer_20589.png,,Wake Forest,Reserve List
2023,20654,28,Josh,Hawkins,,DB,,J. Hawkins,5104,1993-01-23,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hawkins_20654.png,,East Carolina,Active
2023,20693,5,Will,Hill,,DB,,W. Hill,6006,1990-03-07,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Hill_20693.png,,Florida,Active
2023,20722,70,Mike,Horton,,OL,,M. Horton,6032,1996-10-07,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mike_Horton_20722.png,,Auburn,Active
2023,20735,56,Cameron,Hunt,,OL,,C. Hunt,6037,1994-12-17,,,,,,,,,,1,,,,Oregon,Active
2023,20889,12,Adrian,Killins,,RB,,A. Killins,5073,1998-01-02,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adrian_Killins_20889.png,,Central Florida,Active
2023,20891,0,Marquette,King,,ST,,M. King,6001,1988-10-26,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Marquette_King_20891.png,,Fort Valley St,Active
2023,20919,6,Davonte,Lambert,,DL,,D. Lambert,6014,1994-06-23,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Davonte_Lambert_20919.png,,Auburn,Active
2023,20931,48,Tomasi,Laulile,,DL,,T. Laulile,6026,1995-05-22,,,,,,,,,,1,,,,Brigham Young,Active
2023,20944,,Jessie,Lemonier,,LB,,J. Lemonier,6016,1997-01-31,,,,,,,,,,1,,,,Liberty,Reserve List
2023,21040,55,Garrett,McGhin,,OL,,G. McGhin,6061,1994-10-13,,,,,,,,,,1,,,,East Carolina,Active
2023,21094,77,George,Moore,,OL,,G. Moore,6056,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/George_Moore_21094.png,,Oregon,Active
2023,21129,3,Flynn,Nagel,,WR,,F. Nagel,5112,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Flynn_Nagel_21129.png,,Northwestern,Reserve List
2023,21142,,Robert,Nelson,,DB,,R. Nelson,5094,1990-02-16,,,,,,,,,,1,,,,Arizona St,Reserve List
2023,21243,9,Drew,Plitt,,QB,,D. Plitt,6022,,,,,,,,,,,1,,,,Ball St,Active
2023,21251,4,Joe,Powell,,DB,,J. Powell,6001,1994-02-25,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joe_Powell_21251.png,,Globe JC,Active
2023,21318,30,Edmond,Robinson,,LB,,E. Robinson,6025,1992-02-23,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Edmond_Robinson_21318.png,,Newberry,Active
2023,21359,1,Taylor,Russolino,,ST,,T. Russolino,5110,1989-05-23,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Taylor_Russolino_21359.png,,Millsaps,Active
2023,21379,36,Colin,Schooler,,LB,,C. Schooler,5116,,,,,,,,,,,1,,,,Texas Tech,Active
2023,21426,17,Jordan,Smallwood,,WR,,J. Smallwood,6010,1995-01-18,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Smallwood_21426.png,,Oklahoma,Active
2023,21479,68,Jake,Stetz,,OL,,J. Stetz,6025,1998-05-30,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jake_Stetz_21479.png,,Boise St,Active
2023,21497,11,Jacorey,Sullivan,,WR,,J. Sullivan,6012,,,,,,,,,,,1,,,,Central Michigan,Reserve List
