<<<<<<< Updated upstream
season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,MapRoleKicker,MapRoleKickreturner,VisScore,HomeScore,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,MapRoleTackler1,Down,Distance,FootballZone,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRoleTackler2,FootballMainScoringPlay,FootballConvAttPts,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRolePassDefender,MapRoleQbHitter,FootballTimeoutTeamId,MapRoleSacker1,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleInterceptor,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,3,1676855113.0,72313,2023-02-20 01:05:13.000000,EventFootballKickoff,34 M. McCrane kicks from DC 30. 86 K. McKnight to SEA 29 for 30 yards,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,1,2302004-SEA-at-DC,900,1800,3600,15:00,3,3,Home,30,1,6,,,,0.0,30,21721,86,0,0,StatusOfficial,ResultKickReturned,30.0,Visitor,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,5,1676855195.0,72395,2023-02-20 01:06:35.000000,EventFootballRush,1-10-SEA 29 (14:46) 28 B. Knox rush to SEA 32 for 3 yards (39 S. Ramirez),,True,1,14,46,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,2,2302004-SEA-at-DC,886,1786,3586,14:46,3,3,Visitor,29,1,6,,,,0.0,71,,,0,0,StatusOfficial,,,,,21871,21278,1.0,10.0,2,3.0,Visitor,29.0,1.0,3.0,0:39, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,7,1676855229.0,72429,2023-02-20 01:07:09.000000,EventFootballPass,2-7-SEA 32 (14:13) 6 B. DiNucci pass to 3 J. Pearson to SEA 38 for 6 yards (26 D. Neal),,True,1,14,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,3,2302004-SEA-at-DC,853,1753,3553,14:13,3,3,Visitor,32,1,6,,,,0.0,68,,,0,0,StatusOfficial,ResultPassComplete,,,,,21133,2.0,7.0,3,6.0,Visitor,29.0,2.0,9.0,1:12, ,21979,21203,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,9,1676855270.0,72470,2023-02-20 01:07:50.000000,EventFootballRush,3-1-SEA 38 (13:32) 28 B. Knox rush to SEA 39 for 1 yard (39 S. Ramirez),,True,1,13,32,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,4,2302004-SEA-at-DC,812,1712,3512,13:32,3,3,Visitor,38,1,6,,,,0.0,62,,,0,0,StatusOfficial,,,,,21871,21278,3.0,1.0,2,1.0,Visitor,29.0,3.0,10.0,1:44, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,32,1676855308.0,72508,2023-02-20 01:08:28.000000,EventFootballRush,1-10-SEA 39 (12:54) 28 B. Knox rush to SEA 41 for 2 yards (39 S. Ramirez),,True,1,12,54,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,5,2302004-SEA-at-DC,774,1674,3474,12:54,3,3,Visitor,39,1,6,,,,0.0,61,,,0,0,StatusOfficial,,,,,21871,21278,1.0,10.0,1,2.0,Visitor,29.0,11.0,71.0,5:47,TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,33,1676855343.0,72543,2023-02-20 01:09:03.000000,EventFootballPass,2-9-SEA 40 (12:19) 6 B. DiNucci pass to 80 B. Jackson to SEA 44 for 4 yards (24 A. Kelly),,True,1,12,19,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,6,2302004-SEA-at-DC,739,1639,3439,12:19,3,3,Visitor,40,1,6,,,,0.0,60,,,0,0,StatusOfficial,ResultPassComplete,,,,,20873,2.0,9.0,3,4.0,Visitor,29.0,11.0,71.0,5:47,TD,21979,20761,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,18,1676855379.0,72579,2023-02-20 01:09:39.000000,EventFootballPass,3-4-SEA 45 (11:44) 6 B. DiNucci pass to 88 J. Veasy to DC 46 for 9 yards (26 D. Neal),,True,1,11,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,7,2302004-SEA-at-DC,704,1604,3404,11:44,3,3,Visitor,45,1,6,,,,0.0,55,,,0,0,StatusOfficial,ResultPassComplete,,,,,21133,3.0,4.0,3,9.0,Visitor,29.0,6.0,25.0,3:50, ,21979,22306,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,20,1676855423.0,72623,2023-02-20 01:10:23.000000,EventFootballPass,1-10-DC 46 (11:02) 6 B. DiNucci pass to 80 B. Jackson to DC 38 for 8 yards (96 J. Panasiuk),,True,1,11,2,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,8,2302004-SEA-at-DC,662,1562,3362,11:02,3,3,Home,46,1,6,,,,0.0,46,,,0,0,StatusOfficial,ResultPassComplete,,,,,21182,1.0,10.0,1,8.0,Visitor,29.0,7.0,33.0,4:07, ,21979,20761,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,22,1676855450.0,72650,2023-02-20 01:10:50.000000,EventFootballPass,2-2-DC 38 (10:39) 6 B. DiNucci pass incomplete to 80 B. Jackson,,True,1,10,39,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,9,2302004-SEA-at-DC,639,1539,3339,10:39,3,3,Home,38,1,6,,,,0.0,38,,,0,0,StatusOfficial,ResultPassIncomplete,,,,,,2.0,2.0,2,,Visitor,29.0,8.0,33.0,4:21, ,21979,20761,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,24,1676855488.0,72688,2023-02-20 01:11:28.000000,EventFootballPass,"3-2-DC 38 (10:25) 6 B. DiNucci pass to 3 J. Pearson to DC 7 for 31 yards (24 A. Kelly, 29 K. Brice)",,True,1,10,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,10,2302004-SEA-at-DC,625,1525,3325,10:25,3,3,Home,38,1,6,,,,0.0,38,,,0,0,StatusOfficial,ResultPassComplete,,,,,20873,3.0,2.0,6,31.0,Visitor,29.0,9.0,64.0,4:58, ,21979,21203,20180,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,27,1676855530.0,72730,2023-02-20 01:12:10.000000,EventFootballRush,1-7-DC 7 (9:47) 28 B. Knox rush to DC 6 for 1 yard (15 M. Joseph),,True,1,9,47,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,11,2302004-SEA-at-DC,587,1487,3287,9:47,3,3,Home,7,1,6,,,,0.0,7,,,0,0,StatusOfficial,,,,,21871,22862,1.0,7.0,1,1.0,Visitor,29.0,10.0,65.0,5:27, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,29,1676855568.0,72768,2023-02-20 01:12:48.000000,EventFootballPass,"2-6-DC 6 (9:13) 6 B. DiNucci pass to 0 J. Gordon for 6 yards, TOUCHDOWN",,True,1,9,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,12,2302004-SEA-at-DC,553,1453,3253,9:13,3,3,Home,6,1,6,,,,0.0,6,,,0,0,StatusOfficial,ResultPassComplete,,,,,,2.0,6.0,1,6.0,Visitor,29.0,11.0,71.0,5:47,TD,21979,22840,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,SEA,6,DC,8,31,1676855604.0,72804,2023-02-20 01:13:24.000000,EventFootballPat3PtPass,6 B. DiNucci 3-pt conversion pass to  NO GOOD,,True,1,9,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_19_SEA@DC,,QBStat,13,2302004-SEA-at-DC,553,1453,3253,9:13,3,3,Home,10,1,6,,,,0.0,10,,,6,0,StatusOfficial,ResultPassIncomplete,,,,,,,,,,,,,,,,21979,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
