season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,Down,Distance,MapRoleKicker,FootballStatus,FootballPlayResult,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,MapRolePassDefender,FootballZone,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_TOP,Result,MapRoleTackler1,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRoleRusher,FootballYards,Drive_Yards,MapRoleSacker1,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballMainScoringPlay,FootballConvAttPts,FootballKickYards,MapRoleTackler2,FootballTimeoutTeamId,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleKickreturner,FootballKickRetYards,MapRoleQbHitter,MapRoleSacker2,punt_attempt
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,1,1677369844.6579406,,2023-02-25 19:04:04.657941,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,10005,2302006-DC-at-VGS,900,1800,3600,15:00,3,3,Visitor,30,1,7,,,,1.0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,470,1677369881.0,68681,2023-02-25 19:04:41.000000,EventFootballKickoff,19 D. Whelan kicks the kickoff short of 20 yd line,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,1,2302006-DC-at-VGS,900,1800,3600,15:00,3,3,Visitor,30,1,7,,,,1.0,30,0,0,,,22325,StatusOfficial,ResultKickShortof20,Visitor,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,471,1677369918.0,68718,2023-02-25 19:05:18.000000,EventFootballPass,1-10-DC 45 (14:56) 12 L. Perez pass incomplete to 14 C. Sweeting,,True,1,14,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,2,2302006-DC-at-VGS,896,1796,3596,14:56,3,3,Visitor,45,1,7,,,,1.0,45,0,0,1.0,10.0,,StatusOfficial,ResultPassIncomplete,,,21207,21507,22862,1,Visitor,45.0,1.0,0:13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,472,1677369955.0,68755,2023-02-25 19:05:55.000000,EventFootballPass,2-10-DC 45 (14:23) 12 L. Perez pass incomplete to 13 J. Badet,,True,1,14,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,3,2302006-DC-at-VGS,863,1763,3563,14:23,3,3,Visitor,45,1,7,,,,1.0,45,0,0,2.0,10.0,,StatusOfficial,ResultPassIncomplete,,,21207,20072,21182,1,Visitor,45.0,2.0,0:46, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,473,1677369996.0,68796,2023-02-25 19:06:36.000000,EventFootballPass,3-10-DC 45 (13:48) 12 L. Perez pass incomplete to 10 M. Sexton,,True,1,13,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,4,2302006-DC-at-VGS,828,1728,3528,13:48,3,3,Visitor,45,1,7,,,,1.0,45,0,0,3.0,10.0,,StatusOfficial,ResultPassIncomplete,,,21207,21882,,1,Visitor,45.0,3.0,1:16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,474,1677370013.0,68813,2023-02-25 19:06:53.000000,EventFootballPunt,4-10-DC 45 (13:37) 17 M. Carrizosa punts 30 yards from DC 45 to DC 15. 12 J. Ezzard to DC 15 for 0 yards (40 A. Higuera),,True,1,13,37,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,5,2302006-DC-at-VGS,817,1717,3517,13:37,3,3,Visitor,45,1,7,,,,1.0,45,0,0,4.0,10.0,,StatusOfficial,ResultKickReturned,Visitor,15.0,,,,,Visitor,45.0,3.0,1:23,PUNT,40,21784,21933,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,475,1677370079.0,68879,2023-02-25 19:07:59.000000,EventFootballRush,1-10-DC 15 (13:09) 4 A. Smith rush to DC 17 for 2 yards (48 D. Calhoun),,True,1,13,9,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,6,2302006-DC-at-VGS,789,1689,3489,13:09,3,3,Visitor,15,2,8,,,,0.0,85,0,0,1.0,10.0,,StatusOfficial,,,,,,,1,Visitor,15.0,2.0,0:43, ,21744,,,,,21427,2.0,3.0,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,476,1677370109.0,68909,2023-02-25 19:08:29.000000,EventFootballPass,2-7-DC 15 (12:40) 10 J. Ta'amu pass incomplete to 1 C. Blair,,True,1,12,40,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,7,2302006-DC-at-VGS,760,1660,3460,12:40,3,3,Visitor,15,2,8,,,,0.0,85,0,0,2.0,7.0,,StatusOfficial,ResultPassIncomplete,,,22296,20133,21462,1,Visitor,15.0,2.0,0:55, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,477,1677370145.0,68945,2023-02-25 19:09:05.000000,EventFootballSack,"3-7-DC 15 (12:14) 10 J. Ta'amu sacked at DC 15 for 0 yards Fumbled by 10 J. Ta'amu,  Recovered by 0 P. Taumoepenu (23 M. Roberts)",,True,1,12,14,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,8,2302006-DC-at-VGS,734,1634,3434,12:14,3,3,Visitor,15,2,8,,,,0.0,85,0,0,3.0,7.0,,StatusOfficial,,Visitor,2.0,22296,,,,Visitor,15.0,3.0,1:23,FUMBLE,,,,,,,0.0,-13.0,21960,8,22296,7,21968,,,,,,,,,,,,,,,,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,DC,8,VGS,7,478,1677370285.0,69085,2023-02-25 19:11:25.000000,EventFootballRush,"1-2-DC 2 (12:10) 5 D. Torrey rush for 2 yards, TOUCHDOWN",,True,1,12,10,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_25_DC@VGS,,QBStat,9,2302006-DC-at-VGS,730,1630,3430,12:10,3,3,Visitor,2,3,7,,,,1.0,2,0,0,1.0,10.0,,StatusOfficial,,,,,,,1,Visitor,2.0,1.0,0:04,TD,,,,,,21570,2.0,2.0,,,,,,,ScoreTypeTd,,,,,,,,,,,,,,0
