season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,VisScore,HomeScore,down,ydstogo,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,MapRoleTackler1,MapRoleTackler2,FootballZone,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleRusher,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRoleQbHitter,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,FootballMainScoringPlay,MapRolePassDefender,FootballTimeoutTeamId,FootballConvAttPts,MapRoleSacker1,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleInterceptor,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
<<<<<<< Updated upstream
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,1,1678590245.2644224,,2023-03-12 03:04:05.264422,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,10005, ,900,1800,3600,15:00,3,,,,0.0,3,3,3,3,Home,30,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,349,1678590246.0,79446,2023-03-12 03:04:06.000000,EventFootballKickoff,11 D. Eberle kicks from SEA 30. 6 F. Brown to SA 30 for 23 yards,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,1,2302014-SA-at-SEA,900,1800,3600,15:00,3,,,,0.0,3,3,3,3,Home,30,1,30,0,0,,,22034,21979,StatusOfficial,ResultKickReturned,23.0,Visitor,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,350,1678590308.0,79508,2023-03-12 03:05:08.000000,EventFootballPass,"1-10-SA 30 (14:47) 16 J. Coan pass to 88 A. Mack to SA 39 for 9 yards (2 A. Brooks, 8 T. Walker)",,True,1,14,47,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,2,2302014-SA-at-SEA,887,1787,3587,14:47,3,,,,0.0,3,3,3,3,Visitor,30,1,70,0,0,1.0,10.0,,,StatusOfficial,ResultPassComplete,,,,20301,21765,21919,21620,1,9.0,Visitor,30.0,1.0,9.0,0:26, ,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,351,1678590338.0,79538,2023-03-12 03:05:38.000000,EventFootballPass,2-1-SA 39 (14:17) 16 J. Coan pass incomplete to 81 T. Toivonen,,True,1,14,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,3,2302014-SA-at-SEA,857,1757,3557,14:17,3,,,,0.0,3,3,3,3,Visitor,39,1,61,0,0,2.0,1.0,,,StatusOfficial,ResultPassIncomplete,,,,20301,22891,,,2,,Visitor,30.0,2.0,9.0,0:43, ,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,352,1678590375.0,79575,2023-03-12 03:06:15.000000,EventFootballRush,3-1-SA 39 (13:45) 16 J. Coan rush to SA 38 for -1 yards (26 J. Evans),,True,1,13,45,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,4,2302014-SA-at-SEA,825,1725,3525,13:45,3,,,,0.0,3,3,3,3,Visitor,39,1,61,0,0,3.0,1.0,,,StatusOfficial,,,,,,,20460,,2,-1.0,Visitor,30.0,3.0,8.0,1:25, ,20301,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,353,1678590393.0,79593,2023-03-12 03:06:33.000000,EventFootballPunt,4-2-SA 38 (13:26) 0 B. Wing punts 48 yards from SA 38 to SEA 14. 86 K. McKnight to SEA 13 for -1 yards,,True,1,13,26,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,5,2302014-SA-at-SEA,806,1706,3506,13:26,3,,,,0.0,3,3,3,3,Visitor,38,1,62,0,0,4.0,2.0,,,StatusOfficial,ResultKickReturned,,Home,13.0,,,,,,,Visitor,30.0,3.0,8.0,1:34,PUNT,,21706,21875,48.0,-1.0,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,354,1678590463.0,79663,2023-03-12 03:07:43.000000,EventFootballPass,1-10-SEA 13 (12:54) 6 B. DiNucci pass to 3 J. Pearson to SEA 25 for 12 yards (15 J. Williams),,True,1,12,54,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,6,2302014-SA-at-SEA,774,1674,3474,12:54,6,,,,1.0,3,3,3,3,Home,13,2,87,0,0,1.0,10.0,,,StatusOfficial,ResultPassComplete,,,,21979,21203,21974,,1,12.0,Home,13.0,1.0,12.0,0:15, ,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,355,1678590523.0,79723,2023-03-12 03:08:43.000000,EventFootballPass,1-10-SEA 25 (11:57) 6 B. DiNucci pass to 80 B. Jackson to SEA 29 for 4 yards (22 R. Texada),,True,1,11,57,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,7,2302014-SA-at-SEA,717,1617,3417,11:57,6,,,,1.0,3,3,3,3,Home,25,2,75,0,0,1.0,10.0,,,StatusOfficial,ResultPassComplete,,,,21979,20761,22376,,1,4.0,Home,13.0,2.0,16.0,1:05, ,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_11_SA@SEA,SA,3,SEA,6,outdoors,356,1678590535.0,79735,2023-03-12 03:08:55.000000,EventFootballRush,2-6-SEA 29 (11:44) 25 M. Ellison rush to SEA 39 for 10 yards (5 T. Adewusi),,True,1,11,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_11_SA@SEA,,QBStat,8,2302014-SA-at-SEA,704,1604,3404,11:44,6,,,,1.0,3,3,3,3,Home,29,2,71,0,0,2.0,6.0,,,StatusOfficial,,,,,,,20008,,3,10.0,Home,13.0,3.0,26.0,1:25, ,20450,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
