season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,MapRoleInterceptor,down,ydstogo,FootballZone,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_TOP,Result,MapRoleRusher,FootballYards,Drive_Yards,MapRoleQbHitter,MapRolePassDefender,FootballMainScoringPlay,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleTackler2,MapRoleSacker1,MapRoleSacker2,FootballTimeoutTeamId,MapRolePunter,FootballPuntYards,FootballConvAttPts,MapRolePuntreturner,FootballPuntRetYards,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,1,1677456248.459506,,2023-02-26 19:04:08.459506,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,10005,2302008-ARL-at-HOU,900,1800,3600,15:00,1,,,0.0,ARL,HOU,0.0,3,3,3,3,Home,30,1,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,3,1677456260.0,68660,2023-02-26 19:04:20.000000,EventFootballKickoff,8 H. Duplessis kicks from HOU 30. 12 A. Killins to ARL 26 for 19 yards (11 T. Beckett),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,1,2302008-ARL-at-HOU,900,1800,3600,15:00,1,,,0.0,ARL,HOU,0.0,3,3,3,3,Home,30,1,30,0,0,0,20107,22014,21984,StatusOfficial,ResultKickReturned,19.0,Visitor,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,5,1677456307.0,68707,2023-02-26 19:05:07.000000,EventFootballPass,1-10-ARL 26 (14:50) 9 D. Plitt pass intended for 11 L. Winningham INTERCEPTED by 3 A. Harris returned 0 yards to ARL 45,,True,1,14,50,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,2,2302008-ARL-at-HOU,890,1790,3590,14:50,1,,,0.0,ARL,HOU,0.0,3,3,3,3,Visitor,26,1,74,0,0,0,,,,StatusOfficial,ResultPassInterception,,Visitor,45.0,21243,21707,20633,1.0,10.0,3,Visitor,26.0,1.0,0:10,INT,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,8,1677456357.0,68757,2023-02-26 19:05:57.000000,EventFootballRush,1-10-ARL 45 (14:48) 21 G. Owens rush to ARL 43 for 2 yards (18 D. Payne),,True,1,14,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,3,2302008-ARL-at-HOU,888,1788,3588,14:48,2,,,1.0,HOU,ARL,0.0,3,3,3,3,Visitor,45,2,45,0,0,0,22675,,,StatusOfficial,,,,,,,,1.0,10.0,3,Visitor,45.0,1.0,0:22, ,21173,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,10,1677456393.0,68793,2023-02-26 19:06:33.000000,EventFootballPass,2-8-ARL 43 (14:12) 12 B. Silvers pass to 13 J. Kirklin to ARL 27 for 16 yards (22 J. Carter),,True,1,14,12,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,4,2302008-ARL-at-HOU,852,1752,3552,14:12,2,,,1.0,HOU,ARL,0.0,3,3,3,3,Visitor,43,2,43,0,0,0,20270,,,StatusOfficial,ResultPassComplete,,,,21984,20896,,2.0,8.0,3,Visitor,45.0,2.0,1:05, ,,16.0,18.0,22302,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,12,1677456428.0,68828,2023-02-26 19:07:08.000000,EventFootballRush,1-10-ARL 27 (13:37) 22 M. Borghi rush to ARL 23 for 4 yards (22 J. Carter),,True,1,13,37,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,5,2302008-ARL-at-HOU,817,1717,3517,13:37,2,,,1.0,HOU,ARL,0.0,3,3,3,3,Visitor,27,2,27,0,0,0,20270,,,StatusOfficial,,,,,,,,1.0,10.0,2,Visitor,45.0,3.0,1:31, ,20149,4.0,22.0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,14,1677456466.0,68866,2023-02-26 19:07:46.000000,EventFootballPass,2-6-ARL 23 (13:00) 12 B. Silvers pass incomplete to 13 J. Kirklin,,True,1,13,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,6,2302008-ARL-at-HOU,780,1680,3480,13:00,2,,,1.0,HOU,ARL,0.0,3,3,3,3,Visitor,23,2,23,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,21984,20896,,2.0,6.0,2,Visitor,45.0,4.0,1:55, ,,,22.0,,20270,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,16,1677456503.0,68903,2023-02-26 19:08:23.000000,EventFootballPass,3-6-ARL 23 (12:27) 12 B. Silvers pass incomplete to 1 D. Burnett,,True,1,12,27,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,7,2302008-ARL-at-HOU,747,1647,3447,12:27,2,,,1.0,HOU,ARL,0.0,3,3,3,3,Visitor,23,2,23,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,21984,20229,,3.0,6.0,,Visitor,45.0,5.0,2:23, ,,,22.0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,18,1677456530.0,68930,2023-02-26 19:08:50.000000,EventFootballFg,4-6-ARL 23 (12:10) 8 H. Duplessis 42 yard field goal is GOOD,,True,1,12,10,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,8,2302008-ARL-at-HOU,730,1630,3430,12:10,2,,,1.0,HOU,ARL,0.0,3,3,3,3,Visitor,23,2,23,0,0,0,,20424,,StatusOfficial,ResultKickMade,,,,,,,4.0,6.0,,Visitor,45.0,6.0,2:40,FG,,42.0,22.0,,,ScoreTypeFg,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,1.0,1.0,0.0
2023,FOOTBALL_XFL_2023_2_26_ARL@HOU,ARL,1,HOU,2,outdoors,20,1677456747.0,69147,2023-02-26 19:12:27.000000,EventFootballKickoff,"8 H. Duplessis kicks from HOU 30. 12 A. Killins to ARL 9 for 19 yards (45 J. Daka) PENALTY on 81 N. Becker, 10 yards",,True,1,12,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_26_ARL@HOU,,QBStat,9,2302008-ARL-at-HOU,721,1621,3421,12:01,1,,,0.0,ARL,HOU,0.0,3,3,3,3,Home,30,3,30,0,0,3,20350,22014,21984,StatusOfficial,ResultKickReturned,19.0,Visitor,9.0,,,,,,,,,,,,,,,,,,1,22326,10.0,ResultPenaltyRepeatdown,NA,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
