season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,yardline_100,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,VisScore,HomeScore,Down,Distance,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,FootballZone,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRolePassDefender,FootballMainScoringPlay,FootballConvAttPts,MapRoleTackler2,MapRolePunter,MapRolePuntreturner,FootballPuntYards,MapRoleSacker1,FootballTimeoutTeamId,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,FootballPuntRetYards,FootballExtraYards_IndivOrTeam,FootballExtraYards_TeamId,FootballExtraYards_PlayerId,FootballExtraYards_Yards,MapRoleInterceptor,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleQbHitter
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,1,1676770557.5182776,,2023-02-18 20:35:57.518278,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,10005,2302002-ORL-at-HOU,900,1800,3600,15:00,3,3,Home,35,0,1,4,,,,0.0,0,0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,4,1676770561.0,74161,2023-02-18 20:36:01.000000,EventFootballKickoff,8 H. Duplessis kicks from HOU 35. 24 R. Tatum to ORL 23 for 13 yards (13 J. Kirklin),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,1,2302002-ORL-at-HOU,900,1800,3600,15:00,3,3,Home,35,0,1,4,,,,0.0,0,0,1.0,10.0,20896,21448,22032,StatusOfficial,ResultKickReturned,13.0,Visitor,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,6,1676770637.0,74237,2023-02-18 20:37:17.000000,EventFootballRush,1-10-ORL 23 (14:52) 30 J. Martin rush to ORL 26 for 3 yards (89 T. Ward),,True,1,14,52,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,2,2302002-ORL-at-HOU,892,1792,3592,14:52,3,3,Visitor,23,0,1,4,,,,0.0,0,0,1.0,10.0,21628,,,StatusOfficial,,,,,20997,2,3.0,Visitor,23.0,1.0,3.0,0:24, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,8,1676770666.0,74266,2023-02-18 20:37:46.000000,EventFootballPass,2-7-ORL 26 (14:22) 6 P. Lynch pass to 11 C. Latimer to ORL 32 for 6 yards (3 A. Harris),,True,1,14,22,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,3,2302002-ORL-at-HOU,862,1762,3562,14:22,3,3,Visitor,26,0,1,4,,,,0.0,0,0,2.0,7.0,20633,,,StatusOfficial,ResultPassComplete,,,,,1,6.0,Visitor,23.0,2.0,9.0,0:55, ,22605,20929,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,10,1676770698.0,74298,2023-02-18 20:38:18.000000,EventFootballRush,3-1-ORL 32 (13:51) 30 J. Martin rush to ORL 40 for 8 yards (52 E. Ellerbee),,True,1,13,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,4,2302002-ORL-at-HOU,831,1731,3531,13:51,3,3,Visitor,32,0,1,4,,,,0.0,0,0,3.0,1.0,21857,,,StatusOfficial,,,,,20997,1,8.0,Visitor,23.0,3.0,17.0,1:30, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,12,1676770737.0,74337,2023-02-18 20:38:57.000000,EventFootballRush,1-10-ORL 40 (13:13) 10 D. Thomas rush to ORL 49 for 9 yards (52 E. Ellerbee),,True,1,13,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,5,2302002-ORL-at-HOU,793,1693,3493,13:13,3,3,Visitor,40,0,1,4,,,,0.0,0,0,1.0,10.0,21857,,,StatusOfficial,,,,,21891,2,9.0,Visitor,23.0,4.0,26.0,2:02, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,14,1676770774.0,74374,2023-02-18 20:39:34.000000,EventFootballPass,2-1-ORL 49 (12:39) 6 P. Lynch pass incomplete to 14 C. Rambo,,True,1,12,39,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,6,2302002-ORL-at-HOU,759,1659,3459,12:39,3,3,Visitor,49,0,1,4,,,,0.0,0,0,2.0,1.0,,,,StatusOfficial,ResultPassIncomplete,,,,,3,,Visitor,23.0,5.0,26.0,2:37, ,22605,22018,21536,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,17,1676770804.0,74404,2023-02-18 20:40:04.000000,EventFootballRush,3-1-ORL 49 (12:15) 30 J. Martin rush to HOU 43 for 8 yards (29 A. Hendy),,True,1,12,15,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,7,2302002-ORL-at-HOU,735,1635,3435,12:15,3,3,Visitor,49,0,1,4,,,,0.0,0,0,3.0,1.0,20675,,,StatusOfficial,,,,,20997,1,8.0,Visitor,23.0,6.0,34.0,3:05, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,24,1676770855.0,74455,2023-02-18 20:40:55.000000,EventFootballPass,1-10-HOU 43 (11:28) 6 P. Lynch pass to 17 E. Rogers to HOU 32 for 11 yards (30 W. Likely),,True,1,11,28,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,8,2302002-ORL-at-HOU,688,1588,3388,11:28,3,3,Home,43,0,1,4,,,,0.0,0,0,1.0,10.0,22601,,,StatusOfficial,ResultPassComplete,,,,,2,11.0,Visitor,23.0,8.0,47.0,4:15, ,22605,22708,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,23,1676770880.0,74480,2023-02-18 20:41:20.000000,EventFootballPass,1-10-HOU 32 (11:02) 6 P. Lynch pass to 11 C. Latimer to HOU 30 for 2 yards (23 S. Davis),,True,1,11,2,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,9,2302002-ORL-at-HOU,662,1562,3362,11:02,3,3,Home,32,0,1,4,,,,0.0,0,0,1.0,10.0,20368,,,StatusOfficial,ResultPassComplete,,,,,2,2.0,Visitor,23.0,8.0,47.0,4:08, ,22605,20929,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,26,1676770906.0,74506,2023-02-18 20:41:46.000000,EventFootballPass,2-8-HOU 30 (10:36) 6 P. Lynch pass to 17 E. Rogers to HOU 27 for 3 yards (45 J. Daka),,True,1,10,36,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,10,2302002-ORL-at-HOU,636,1536,3336,10:36,3,3,Home,30,0,1,4,,,,0.0,0,0,2.0,8.0,20350,,,StatusOfficial,ResultPassComplete,,,,,1,3.0,Visitor,23.0,9.0,50.0,4:45, ,22605,22708,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,30,1676771145.0,74745,2023-02-18 20:45:45.000000,EventFootballPass,"3-5-HOU 27 (10:01) 6 P. Lynch pass to 11 C. Latimer for 27 yards, TOUCHDOWN",,True,1,10,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,11,2302002-ORL-at-HOU,601,1501,3301,10:01,3,3,Home,27,0,1,4,,,,0.0,0,0,3.0,5.0,,,,StatusOfficial,ResultPassComplete,,,,,3,27.0,Visitor,23.0,10.0,77.0,4:59,TD,22605,20929,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,37,1676771172.0,74772,2023-02-18 20:46:12.000000,EventFootballPat2PtPass,6 P. Lynch 2-pt conversion pass to  NO GOOD,,True,1,10,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,12,2302002-ORL-at-HOU,601,1501,3301,10:01,3,3,Home,5,0,1,4,,,,0.0,6,0,,,,,,StatusOfficial,ResultPassIncomplete,,,,,3,,,,,,,,22605,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,39,1676771409.0,75009,2023-02-18 20:50:09.000000,EventFootballKickoff,0 J. Borregales kicks the kickoff short of 20 yd line,,True,1,10,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,13,2302002-ORL-at-HOU,601,1501,3301,10:01,3,3,Visitor,30,0,3,2,,,,1.0,6,0,,,,21609,,StatusOfficial,ResultKickShortof20,,Visitor,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,41,1676771458.0,75058,2023-02-18 20:50:58.000000,EventFootballPass,1-10-ORL 45 (9:56) 12 B. Silvers pass incomplete to 9 N. Holley,,True,1,9,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,14,2302002-ORL-at-HOU,596,1496,3296,9:56,3,3,Visitor,45,0,3,2,,,,1.0,6,0,1.0,10.0,,,,StatusOfficial,ResultPassIncomplete,,,,,3,,Visitor,45.0,1.0,,0:10, ,21984,20707,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,ORL,4,HOU,2,43,1676771486.0,75086,2023-02-18 20:51:26.000000,EventFootballPass,"2-10-ORL 45 (9:34) 12 B. Silvers pass to 13 J. Kirklin to ORL 40 for 5 yards (20 B. Buchanan, 44 T. Plummer)",,True,1,9,34,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_ORL@HOU,,QBStat,15,2302002-ORL-at-HOU,574,1474,3274,9:34,3,3,Visitor,45,0,3,2,,,,1.0,6,0,2.0,10.0,20221,,,StatusOfficial,ResultPassComplete,,,,,1,5.0,Visitor,45.0,2.0,5.0,0:42, ,21984,20896,,,,21244,,,,,,,,,,,,,,,,,,,,,,
