season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,down,ydstogo,FootballYards,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRolePassDefender,MapRoleInterceptor,MapRoleQbHitter,MapRoleTackler2,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,FootballMainScoringPlay,FootballConvAttPts,FootballTimeoutTeamId,MapRoleSacker1,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,MapRoleSacker2,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,2,1680459305.986688,,2023-04-02 18:15:05.986688,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,10005,2302026-STL-at-HOU,900,1800,3600,15:00,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,30,1,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,4,1680459308.0,51308,2023-04-02 18:15:08.000000,EventFootballKickoff,FROM HOU 30 (15:00) 8 H. Duplessis kicks from HOU 30. 11 D. Shepherd to STL 25 for 19 yards (18 J. Mosley),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,1,2302026-STL-at-HOU,900,1800,3600,15:00,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,30,1,30,0,0,0,21108,20424,21822,StatusOfficial,ResultKickReturned,19.0,Visitor,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,6,1680459371.0,51371,2023-04-02 18:16:11.000000,EventFootballRush,"1-10-STL 25 (14:49) 23 B. Hill rush to STL 28 for 3 yards Fumbled by 23 B. Hill,  Forced by 45 J. Daka Recovered by 98 C. Brewer (45 J. Daka)",,True,1,14,49,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,2,2302026-STL-at-HOU,889,1789,3589,14:49,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,25,1,75,0,0,0,20350,,,StatusOfficial,,,Visitor,27.0,20688,1.0,10.0,3.0,5,20688,2,21989,20350,Visitor,25.0,1.0,2.0,0:11,FUMBLE,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,8,1680459431.0,51431,2023-04-02 18:17:11.000000,EventFootballPass,1-10-STL 27 (14:44) 14 C. McDonald pass incomplete to 1 D. Burnett,,True,1,14,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,3,2302026-STL-at-HOU,884,1784,3584,14:44,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,27,2,27,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,1.0,10.0,,,,,,,Visitor,27.0,1.0,,0:11, ,21982,20229,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,10,1680459462.0,51462,2023-04-02 18:17:42.000000,EventFootballPass,2-10-STL 27 (14:17) 14 C. McDonald pass to 83 M. Bandy to STL 21 for 6 yards (26 N. Meadors),,True,1,14,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,4,2302026-STL-at-HOU,857,1757,3557,14:17,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,27,2,27,0,0,0,22352,,,StatusOfficial,ResultPassComplete,,,,,2.0,10.0,6.0,,,,,,Visitor,27.0,2.0,6.0,0:45, ,21982,22900,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,12,1680459493.0,51493,2023-04-02 18:18:13.000000,EventFootballRush,3-4-STL 21 (13:45) 14 C. McDonald rush to STL 13 for 8 yards (26 N. Meadors),,True,1,13,45,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,5,2302026-STL-at-HOU,825,1725,3525,13:45,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,21,2,21,0,0,0,22352,,,StatusOfficial,,,,,21982,3.0,4.0,8.0,,,,,,Visitor,27.0,3.0,14.0,1:16, ,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,14,1680459523.0,51523,2023-04-02 18:18:43.000000,EventFootballRush,1-10-STL 13 (13:15) 14 C. McDonald rush to STL 9 for 4 yards (53 C. Wells),,True,1,13,15,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,6,2302026-STL-at-HOU,795,1695,3495,13:15,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,13,2,13,0,0,0,21833,,,StatusOfficial,,,,,21982,1.0,10.0,4.0,,,,,,Visitor,27.0,4.0,18.0,1:44, ,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,16,1680459556.0,51556,2023-04-02 18:19:16.000000,EventFootballPass,2-6-STL 9 (12:44) 14 C. McDonald pass incomplete to 10 J. Smith,,True,1,12,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,7,2302026-STL-at-HOU,764,1664,3464,12:44,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,9,2,9,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,2.0,6.0,,,,,,,Visitor,27.0,5.0,18.0,2:13, ,21982,21441,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,23,1680459596.0,51596,2023-04-02 18:19:56.000000,EventFootballPass,3-6-STL 9 (12:11) 14 C. McDonald pass intended for 10 J. Smith INTERCEPTED by 38 B. Sebastian returned 0 yards to STL 4 QB Hit by 56 T. Feeney Pass Defended by 38 B. Sebastian,,True,1,12,11,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,8,2302026-STL-at-HOU,731,1631,3431,12:11,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,9,2,9,0,0,0,,,,StatusOfficial,ResultPassInterception,,Visitor,4.0,,3.0,6.0,,,,,,,Visitor,27.0,6.0,18.0,2:38,INT,21982,21441,21389,21389,22503,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,20,1680459653.0,51653,2023-04-02 18:20:53.000000,EventFootballPass,1-10-STL 4 (12:05) 10 A. McCarron pass to 88 H. Butler to STL 14 for 10 yards (11 T. Beckett),,True,1,12,5,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,9,2302026-STL-at-HOU,725,1625,3425,12:05,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,4,3,96,0,0,0,20107,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,10.0,,,,,,Visitor,4.0,1.0,10.0,0:32, ,22026,22333,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
