season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,MapRoleTackler2,down,ydstogo,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRolePassDefender,FootballMainScoringPlay,FootballConvAttPts,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleQbHitter,FootballZone,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballTimeoutTeamId,MapRoleSacker1,MapRoleSacker2,MapRoleInterceptor,FootballKickYards,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,2,1680973454.6055105,,2023-04-08 17:04:14.605510,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,10005,2302029-VGS-at-STL,900,1800,3600,15:00,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,4,1680973457.0,47057,2023-04-08 17:04:17.000000,EventFootballKickoff,FROM STL 30 (15:00) 2 D. Hageman kicks from STL 30. 14 C. Sweeting to STL 48 for 44 yards (17 J. Alexander),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,1,2302029-VGS-at-STL,900,1800,3600,15:00,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,21842,22008,21507,StatusOfficial,ResultKickReturned,44.0,Home,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,18,1680973533.0,47133,2023-04-08 17:05:33.000000,EventFootballRush,"1-10-STL 48 (14:48) 15 R. Smith rush to STL 46 for 2 yards (53 C. Wells, 51 W. Harvey)",,True,1,14,48,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,2,2302029-VGS-at-STL,888,1788,3588,14:48,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,48,1,48.0,0,0,0,21833,,,StatusOfficial,,,,,21447,20647,1.0,10.0,2.0,Home,48.0,1.0,2.0,0:24, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,19,1680973566.0,47166,2023-04-08 17:06:06.000000,EventFootballRush,"2-8-STL 46 (14:15) 3 J. McClendon rush to STL 38 for 8 yards (51 W. Harvey, 26 N. Meadors)",,True,1,14,15,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,3,2302029-VGS-at-STL,855,1755,3555,14:15,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,46,1,46.0,0,0,0,20647,,,StatusOfficial,,,,,21022,22352,2.0,8.0,8.0,Home,48.0,2.0,10.0,1:01, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,199,1680973597.0,47197,2023-04-08 17:06:37.000000,EventFootballRush,"1-10-STL 38 (13:44) 14 C. Sweeting rush to STL 38 for 0 yards (53 C. Wells, 26 N. Meadors)",,True,1,13,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,4,2302029-VGS-at-STL,824,1724,3524,13:44,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,38,1,38.0,0,0,0,21833,,,StatusOfficial,,,,,21507,22352,1.0,10.0,0.0,Home,48.0,3.0,10.0,1:33, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,20,1680973646.0,47246,2023-04-08 17:07:26.000000,EventFootballPass,2-10-STL 38 (13:02) 3 J. McClendon pass incomplete to 10 M. Sexton Pass Defended by 53 C. Wells,,True,1,13,2,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,5,2302029-VGS-at-STL,782,1682,3482,13:02,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,38,1,38.0,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,,2.0,10.0,,Home,48.0,4.0,10.0,2:15, ,21022,21882,21833,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,17,1680973671.0,47271,2023-04-08 17:07:51.000000,EventFootballRush,"3-10-STL 38 (12:36) 3 J. McClendon rush to STL 28 for 10 yards (25 L. Denis, 53 C. Wells)",,True,1,12,36,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,6,2302029-VGS-at-STL,756,1656,3456,12:36,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,38,1,38.0,0,0,0,20385,,,StatusOfficial,,,,,21022,21833,3.0,10.0,10.0,Home,48.0,5.0,20.0,2:39, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,22,1680973913.0,47513,2023-04-08 17:11:53.000000,EventFootballRush,1-10-STL 28 (12:04) 8 J. Lovett rush to STL 5 for 23 yards (33 T. Watson),,True,1,12,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,7,2302029-VGS-at-STL,724,1624,3424,12:04,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,28,1,28.0,0,0,0,22297,,,StatusOfficial,,,,,21872,,1.0,10.0,23.0,Home,48.0,6.0,43.0,3:08, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,24,1680973951.0,47551,2023-04-08 17:12:31.000000,EventFootballRush,"1-5-STL 5 (11:26) 8 J. Lovett rush for 5 yards, TOUCHDOWN",,True,1,11,26,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,8,2302029-VGS-at-STL,686,1586,3386,11:26,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,5,1,5.0,0,0,0,,,,StatusOfficial,,,,,21872,,1.0,5.0,5.0,Home,48.0,7.0,48.0,3:35,TD,,,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,VGS,7,STL,5,outdoors,26,1680973979.0,47579,2023-04-08 17:12:59.000000,EventFootballPat2PtPass,FROM STL 5 (11:25) 3 J. McClendon 2-pt conversion pass to 4 M. Bryant GOOD,,True,1,11,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_VGS@STL,,QBStat,9,2302029-VGS-at-STL,685,1585,3385,11:25,7,,,0.0,VGS,STL,0.0,3,3,3.0,3.0,Home,5,1,5.0,0,6,0,,,,StatusOfficial,ResultPassComplete,,,,,,,,5.0,,,,,,,21022,20218,,ScoreTypeConv,2.0,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
