season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,Down,Distance,FootballZone,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRoleTackler2,FootballMainScoringPlay,FootballConvAttPts,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePassDefender,MapRoleSacker1,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRoleQbHitter,FootballTimeoutTeamId,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleInterceptor,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,FootballExtraYards_IndivOrTeam,FootballExtraYards_TeamId,FootballExtraYards_PlayerId,FootballExtraYards_Yards,MapRoleSacker2,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,1,1676750875.3287406,,2023-02-18 20:07:55.328741,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,10005,2302001-VGS-at-ARL,900,1800,3600,15:00,3,3,Home,30,1,7,,,,0.0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,3,1676750903.0,54503,2023-02-18 20:08:23.000000,EventFootballKickoff,1 T. Russolino kicks from ARL 30. 5 D. Torrey to VGS 31 for 26 yards (29 S. Brown),,True,1,14,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,1,2302001-VGS-at-ARL,899,1799,3599,14:59,3,3,Home,30,1,7,,,,0.0,30,0,0,20212,21753,20693,StatusOfficial,ResultKickReturned,26.0,Visitor,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,5,1676750949.0,54549,2023-02-18 20:09:09.000000,EventFootballRush,1-10-VGS 31 (14:51) 15 R. Smith rush to VGS 32 for 1 yard (45 W. Clarke),,True,1,14,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,2,2302001-VGS-at-ARL,891,1791,3591,14:51,3,3,Visitor,31,1,7,,,,0.0,69,0,0,20296,,,StatusOfficial,,,,,21447,1.0,10.0,2,1.0,Visitor,31.0,1.0,1.0,0:27, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,7,1676750971.0,54571,2023-02-18 20:09:31.000000,EventFootballPass,2-9-VGS 32 (14:29) 12 L. Perez pass to 4 M. Bryant to VGS 34 for 2 yards (28 J. Hawkins),,True,1,14,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,3,2302001-VGS-at-ARL,869,1769,3569,14:29,3,3,Visitor,32,1,7,,,,0.0,68,0,0,20654,,,StatusOfficial,ResultPassComplete,,,,,2.0,9.0,3,2.0,Visitor,31.0,2.0,3.0,0:53, ,21207,20218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,9,1676751008.0,54608,2023-02-18 20:10:08.000000,EventFootballPass,3-7-VGS 34 (13:51) 12 L. Perez pass to 19 G. Allison to VGS 44 for 10 yards (5 W. Hill),,True,1,13,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,4,2302001-VGS-at-ARL,831,1731,3531,13:51,3,3,Visitor,34,1,7,,,,0.0,66,0,0,20693,,,StatusOfficial,ResultPassComplete,,,,,3.0,7.0,1,10.0,Visitor,31.0,3.0,13.0,1:32, ,21207,22325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,11,1676751036.0,54636,2023-02-18 20:10:36.000000,EventFootballPass,1-10-VGS 44 (13:24) 12 L. Perez pass to 13 J. Badet to VGS 46 for 2 yards (28 J. Hawkins),,True,1,13,24,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,5,2302001-VGS-at-ARL,804,1704,3504,13:24,3,3,Visitor,44,1,7,,,,0.0,56,0,0,20654,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,3,2.0,Visitor,31.0,4.0,15.0,1:57, ,21207,20072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,13,1676751070.0,54670,2023-02-18 20:11:10.000000,EventFootballRush,2-8-VGS 46 (12:49) 8 J. Lovett rush to VGS 45 for -1 yards (41 D. Bausby),,True,1,12,49,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,6,2302001-VGS-at-ARL,769,1669,3469,12:49,3,3,Visitor,46,1,7,,,,0.0,54,0,0,20099,,,StatusOfficial,,,,,21872,2.0,8.0,3,-1.0,Visitor,31.0,5.0,14.0,2:25, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,15,1676751112.0,54712,2023-02-18 20:11:52.000000,EventFootballPass,3-9-VGS 45 (12:07) 12 L. Perez pass to 14 C. Sweeting to ARL 41 for 14 yards (5 W. Hill),,True,1,12,7,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,7,2302001-VGS-at-ARL,727,1627,3427,12:07,3,3,Visitor,45,1,7,,,,0.0,55,0,0,20693,,,StatusOfficial,ResultPassComplete,,,,,3.0,9.0,2,14.0,Visitor,31.0,6.0,28.0,3:26, ,21207,21507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,358,1676751148.0,54748,2023-02-18 20:12:28.000000,EventFootballPass,1-10-ARL 41 (11:32) 12 L. Perez pass to 19 G. Allison to ARL 22 for 19 yards (22 J. Carter),,True,1,11,32,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,8,2302001-VGS-at-ARL,692,1592,3392,11:32,3,3,Home,41,1,7,,,,0.0,41,0,0,20270,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,1,19.0,Visitor,31.0,12.0,69.0,6:44,TD,21207,22325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,VGS,7,ARL,1,19,1676751188.0,54788,2023-02-18 20:13:08.000000,EventFootballPass,1-10-ARL 22 (10:51) 12 L. Perez pass incomplete to 86 B. Dillon,,True,1,10,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_18_VGS@ARL,,QBStat,9,2302001-VGS-at-ARL,651,1551,3351,10:51,3,3,Home,22,1,7,,,,0.0,22,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,1.0,10.0,1,,Visitor,31.0,8.0,47.0,4:12, ,21207,20392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
