season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,MapRolePasser,MapRoleReceiver,Down,Distance,FootballStatus,FootballPlayResult,FootballZone,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleRusher,MapRoleTackler1,MapRoleTackler2,FootballYards,MapRoleSacker1,MapRolePunter,FootballPuntYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,FootballMainScoringPlay,FootballConvAttPts,MapRoleKicker,MapRoleKickreturner,FootballKickRetYards,MapRolePassDefender,MapRolePuntreturner,FootballTimeoutTeamId,FootballExtraYards_IndivOrTeam,FootballExtraYards_TeamId,FootballExtraYards_PlayerId,FootballExtraYards_Yards,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballPuntRetYards,MapRoleSacker2,MapRoleQbHitter,punt_attempt,pass_touchdown,rush_touchdown,touchdown
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,1,1677204248.6095254,,2023-02-24 02:04:08.609525,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,10005,2302005-STL-at-SEA,900,1800,3600,15:00,3,3,Visitor,30,1,6,,,,1.0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,155,1677204270.0,75870,2023-02-24 02:04:30.000000,EventFootballKickoff,2 D. Hageman kicks from STL 30. 13 J. Redd to SEA 17 for 11 yards (6 L. Williams),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,1,2302005-STL-at-SEA,900,1800,3600,15:00,3,3,Visitor,30,1,6,,,,1.0,30,0,0,,,,,StatusOfficial,ResultKickReturned,,,,,,,,,,,,,,21678,,,,,,Home,17.0,,,21919,21263,11.0,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,156,1677204321.0,75921,2023-02-24 02:05:21.000000,EventFootballPass,1-10-SEA 17 (14:47) 6 B. DiNucci pass incomplete to 88 J. Veasy,,True,1,14,47,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,2,2302005-STL-at-SEA,887,1787,3587,14:47,3,3,Home,17,1,6,,,,1.0,83,0,0,21979,22306,1.0,10.0,StatusOfficial,ResultPassIncomplete,6,Home,17.0,1.0,,0:18, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,157,1677204354.0,75954,2023-02-24 02:05:54.000000,EventFootballPass,2-10-SEA 17 (14:23) 6 B. DiNucci pass to 80 B. Jackson to SEA 17 for 0 yards (26 N. Meadors),,True,1,14,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,3,2302005-STL-at-SEA,863,1763,3563,14:23,3,3,Home,17,1,6,,,,1.0,83,0,0,21979,20761,2.0,10.0,StatusOfficial,ResultPassComplete,3,Home,17.0,3.0,,1:51,PUNT,,,,,,,22352,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,158,1677204401.0,76001,2023-02-24 02:06:41.000000,EventFootballPass,3-10-SEA 17 (13:41) 6 B. DiNucci pass incomplete to 3 J. Pearson,,True,1,13,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,4,2302005-STL-at-SEA,821,1721,3521,13:41,3,3,Home,17,1,6,,,,1.0,83,0,0,21979,21203,3.0,10.0,StatusOfficial,ResultPassIncomplete,1,Home,17.0,3.0,,1:27, ,,,,,,,,,,,,,,,,,,,,21389,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,159,1677204435.0,76035,2023-02-24 02:07:15.000000,EventFootballPunt,4-10-SEA 17 (13:09) 10 C. Nizialek punts 40 yards from SEA 17 to STL 43. 13 A. Proehl to STL 41 for -2 yards (51 T. Skipper),,True,1,13,9,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,5,2302005-STL-at-SEA,789,1689,3489,13:09,3,3,Home,17,1,6,,,,1.0,83,0,0,,,4.0,10.0,StatusOfficial,ResultKickReturned,,Home,17.0,3.0,,1:51,PUNT,,,,,,,20647,,,,21997,40.0,Visitor,41.0,,,,,,,21263,,,,,,,,,,,-2.0,,,1,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,160,1677204492.0,76092,2023-02-24 02:08:12.000000,EventFootballSack,"1-10-STL 41 (12:58) 10 A. McCarron sacked at STL 35 for -6 yards (44 E. Ponder, 97 N. Lalos)",,True,1,12,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,6,2302005-STL-at-SEA,778,1678,3478,12:58,3,3,Visitor,41,2,5,,,,0.0,59,0,0,22026,,1.0,10.0,StatusOfficial,,,Visitor,41.0,1.0,-6.0,0:23, ,,,,,,,,,-6.0,22017,,,,,,,,,,,,,,,,,,,,,,,20918,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,161,1677204526.0,76126,2023-02-24 02:08:46.000000,EventFootballRush,"2-16-STL 35 (12:24) 0 K. Walker rush to STL 36 for 1 yard (33 A. Holder, 8 T. Walker)",,True,1,12,24,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,7,2302005-STL-at-SEA,744,1644,3444,12:24,3,3,Visitor,35,2,5,,,,0.0,65,0,0,,,2.0,16.0,StatusOfficial,,1,Visitor,41.0,2.0,-5.0,0:55, ,,,,,,22033,22552,21620,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,162,1677204565.0,76165,2023-02-24 02:09:25.000000,EventFootballRush,3-15-STL 36 (11:46) 0 K. Walker rush to STL 37 for 1 yard (8 T. Walker),,True,1,11,46,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,8,2302005-STL-at-SEA,706,1606,3406,11:46,3,3,Visitor,36,2,5,,,,0.0,64,0,0,,,3.0,15.0,StatusOfficial,,2,Visitor,41.0,3.0,-4.0,1:34, ,,,,,,22033,21620,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_2_23_STL@SEA,STL,5,SEA,6,163,1677204606.0,76206,2023-02-24 02:10:06.000000,EventFootballPunt,4-14-STL 37 (11:04) 16 S. Hofrichter punts 49 yards from STL 37 to SEA 14. 3 J. Pearson to SEA 28 for 14 yards (12 G. Jennings),,True,1,11,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_2_23_STL@SEA,,QBStat,9,2302005-STL-at-SEA,664,1564,3364,11:04,3,3,Visitor,37,2,5,,,,0.0,63,0,0,,,4.0,14.0,StatusOfficial,ResultKickReturned,,Visitor,41.0,3.0,-4.0,2:05,PUNT,,,,,,,21091,,,,20704,49.0,Home,28.0,,,,,,,21203,,,,,,,,,,,14.0,,,1,0.0,0.0,0.0
