season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,MapRoleRusher,MapRoleTackler1,Down,Distance,FootballStatus,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleKicker,MapRoleKickreturner,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,FootballMainScoringPlay,FootballConvAttPts,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePassDefender,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballTimeoutTeamId,MapRoleSacker1,MapRoleInterceptor,MapRoleQbHitter,MapRoleTackler2,MapRoleSacker2,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,1,1678064647.8460224,,2023-03-06 01:04:07.846022,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,10005,2302012-SA-at-HOU,900,1800,3600,15:00,3,3,Home,30,1,3,,,,0.0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,12,1678064675.0,72275,2023-03-06 01:04:35.000000,EventFootballKickoff,8 H. Duplessis kicks from HOU 30. 10 T. Jonsen to HOU 36 for 59 yards (24 A. Myres),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,1,2302012-SA-at-HOU,900,1800,3600,15:00,3,3,Home,30,1,3,,,,0.0,30,0,0,,22032,,,StatusOfficial,,,,,,,,22884,21441,ResultKickReturned,59.0,Home,36.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,5,1678064734.0,72334,2023-03-06 01:05:34.000000,EventFootballRush,1-10-HOU 36 (14:46) 11 K. Ballage rush to HOU 29 for 7 yards (52 E. Ellerbee),,True,1,14,46,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,2,2302012-SA-at-HOU,886,1786,3586,14:46,3,3,Home,36,1,3,,,,0.0,36,0,0,22034,21857,1.0,10.0,StatusOfficial,7.0,Home,36.0,1.0,7.0,0:22, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,7,1678064766.0,72366,2023-03-06 01:06:06.000000,EventFootballRush,2-3-HOU 29 (14:14) 11 K. Ballage rush to HOU 16 for 13 yards (23 S. Davis),,True,1,14,14,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,3,2302012-SA-at-HOU,854,1754,3554,14:14,3,3,Home,29,1,3,,,,0.0,29,0,0,22034,20368,2.0,3.0,StatusOfficial,13.0,Home,36.0,2.0,20.0,1:04, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,19,1678064798.0,72398,2023-03-06 01:06:38.000000,EventFootballRush,1-10-HOU 16 (13:42) 16 J. Coan rush to HOU 15 for 1 yard (33 T. Harris),,True,1,13,42,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,4,2302012-SA-at-HOU,822,1722,3522,13:42,3,3,Home,16,1,3,,,,0.0,16,0,0,20301,22857,1.0,10.0,StatusOfficial,1.0,Home,36.0,3.0,21.0,1:40, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,11,1678064838.0,72438,2023-03-06 01:07:18.000000,EventFootballRush,2-9-HOU 15 (13:04) 16 J. Coan rush to HOU 9 for 6 yards,,True,1,13,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,5,2302012-SA-at-HOU,784,1684,3484,13:04,3,3,Home,15,1,3,,,,0.0,15,0,0,20301,,2.0,9.0,StatusOfficial,6.0,Home,36.0,4.0,27.0,2:09, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,14,1678064877.0,72477,2023-03-06 01:07:57.000000,EventFootballPass,"3-3-HOU 9 (12:29) 16 J. Coan pass to 18 T. Vasher for 9 yards, TOUCHDOWN",,True,1,12,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,6,2302012-SA-at-HOU,749,1649,3449,12:29,3,3,Home,9,1,3,,,,0.0,9,0,0,,,3.0,3.0,StatusOfficial,9.0,Home,36.0,5.0,36.0,2:31,TD,,,ResultPassComplete,,,,20301,21898,ScoreTypeTd,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,16,1678064910.0,72510,2023-03-06 01:08:30.000000,EventFootballPat1PtPass,16 J. Coan 1-pt conversion pass to 18 T. Vasher GOOD,,True,1,12,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,7,2302012-SA-at-HOU,749,1649,3449,12:29,3,3,Home,2,1,3,,,,0.0,2,6,0,,,,,StatusOfficial,2.0,,,,,,,,,ResultPassComplete,,,,20301,21898,ScoreTypeConv,1.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,18,1678065017.0,72617,2023-03-06 01:10:17.000000,EventFootballKickoff,23 P. Romo kicks the kickoff out of bounds,,True,1,12,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,8,2302012-SA-at-HOU,749,1649,3449,12:29,3,3,Visitor,30,2,2,,,,1.0,30,7,0,,,,,StatusOfficial,,,,,,,,20368,,ResultKickOutofbounds,,Visitor,45.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_5_SA@HOU,SA,3,HOU,2,21,1678065063.0,72663,2023-03-06 01:11:03.000000,EventFootballPass,1-10-SA 45 (12:25) 12 B. Silvers pass to 6 T. Harris to SA 39 for 6 yards (28 J. Koerner),,True,1,12,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_5_SA@HOU,,QBStat,9,2302012-SA-at-HOU,745,1645,3445,12:25,3,3,Visitor,45,2,2,,,,1.0,45,7,0,,20901,1.0,10.0,StatusOfficial,6.0,Visitor,45.0,1.0,6.0,0:15, ,,,ResultPassComplete,,,,21984,20642,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
