season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRolePasser,MapRoleReceiver,MapRoleTackler1,down,ydstogo,FootballStatus,FootballPlayResult,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_TOP,Result,MapRoleRusher,Drive_Yards,MapRoleTackler2,MapRolePassDefender,MapRoleKicker,FootballMainScoringPlay,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleKickreturner,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballConvAttPts,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,MapRoleSacker1,FootballTimeoutTeamId,FootballKickYards,MapRoleInterceptor,MapRoleSacker2,FootballZone,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,2,1680984355.1504257,,2023-04-08 16:05:55.150426,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,10005,2302030-ARL-at-ORL,900,1800,3600,15:00,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,171,1680984409.0,58009,2023-04-08 16:06:49.000000,EventFootballKickoff,"FROM ORL 30 (15:00) 0 J. Borregales kicks 65 yards from ORL 30 to end zone, Touchback",,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,1,2302030-ARL-at-ORL,900,1800,3600,15:00,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,StatusOfficial,ResultKickTouchback,,,,,,,,,,,21741,,,,,,,,,Visitor,35.0,,,,,,,,,,,,,,,,65.0,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,6,1680984465.0,58065,2023-04-08 16:07:45.000000,EventFootballPass,1-10-ARL 35 (14:58) 12 L. Perez pass to 26 L. Brown to ARL 35 for 0 yards (44 T. Plummer),,True,1,14,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,2,2302030-ARL-at-ORL,898,1798,3598,14:58,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Visitor,35,1,65.0,0,0,0,21207,20207,21244,1.0,10.0,StatusOfficial,ResultPassComplete,0.0,Visitor,35.0,1.0,0:18, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,8,1680984498.0,58098,2023-04-08 16:08:18.000000,EventFootballRush,2-10-ARL 35 (14:26) 26 L. Brown rush to ARL 36 for 1 yard (56 S. Maponga),,True,1,14,26,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,3,2302030-ARL-at-ORL,866,1766,3566,14:26,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Visitor,35,1,65.0,0,0,0,,,20992,2.0,10.0,StatusOfficial,,1.0,Visitor,35.0,2.0,0:50, ,20207,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,10,1680984537.0,58137,2023-04-08 16:08:57.000000,EventFootballPass,"3-9-ARL 36 (13:46) 12 L. Perez pass to 19 B. Arconado to ARL 49 for 13 yards (23 N. Hosein, 1 C. Holmes)",,True,1,13,46,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,4,2302030-ARL-at-ORL,826,1726,3526,13:46,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Visitor,36,1,64.0,0,0,0,21207,20050,20723,3.0,9.0,StatusOfficial,ResultPassComplete,13.0,Visitor,35.0,3.0,1:28, ,,14.0,20713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,13,1680984576.0,58176,2023-04-08 16:09:36.000000,EventFootballPass,1-10-ARL 49 (13:09) 12 L. Perez pass dropped by 13 C. Vander Esch,,True,1,13,9,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,5,2302030-ARL-at-ORL,789,1689,3489,13:09,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Visitor,49,1,51.0,0,0,0,21207,21601,,1.0,10.0,StatusOfficial,ResultPassDropped,,Visitor,35.0,4.0,1:51, ,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,15,1680984652.0,58252,2023-04-08 16:10:52.000000,EventFootballRush,2-10-ARL 49 (12:54) 26 L. Brown rush to ORL 40 for 11 yards (44 T. Plummer),,True,1,12,54,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,6,2302030-ARL-at-ORL,774,1674,3474,12:54,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Visitor,49,1,51.0,0,0,0,,,21244,2.0,10.0,StatusOfficial,,11.0,Visitor,35.0,5.0,2:20, ,20207,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,17,1680984695.0,58295,2023-04-08 16:11:35.000000,EventFootballPass,1-10-ORL 40 (12:13) 12 L. Perez pass to 85 T. Vaughns to ORL 26 for 14 yards (20 B. Buchanan),,True,1,12,13,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,7,2302030-ARL-at-ORL,733,1633,3433,12:13,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Home,40,1,40.0,0,0,0,21207,22363,20221,1.0,10.0,StatusOfficial,ResultPassComplete,14.0,Visitor,35.0,6.0,3:04, ,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,19,1680984734.0,58334,2023-04-08 16:12:14.000000,EventFootballRush,"1-10-ORL 26 (11:38) 2 D. Smith rush to ORL 15 for 11 yards (23 N. Hosein, 8 T. Smith)",,True,1,11,38,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,8,2302030-ARL-at-ORL,698,1598,3398,11:38,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Home,26,1,26.0,0,0,0,,,20723,1.0,10.0,StatusOfficial,,11.0,Visitor,35.0,7.0,3:36, ,22305,50.0,21448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,ARL,1,ORL,4,outdoors,34,1680984776.0,58376,2023-04-08 16:12:56.000000,EventFootballRush,"1-10-ORL 15 (10:55) 2 D. Smith rush to ORL 7 for 8 yards (56 S. Maponga) PENALTY on (ARL) 85 T. Vaughns, 15 yards",,True,1,10,55,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_8_ARL@ORL,,QBStat,9,2302030-ARL-at-ORL,655,1555,3355,10:55,1,,,0.0,ARL,ORL,0.0,3,3,3.0,3.0,Home,15,1,15.0,0,0,0,,,20992,1.0,10.0,StatusOfficial,,8.0,Visitor,35.0,8.0,4:33, ,22305,58.0,,,,,1,22363,15.0,ResultPenaltyOnkickoffpat,NA,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
