season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleTackler2,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,down,ydstogo,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,FootballMainScoringPlay,FootballConvAttPts,MapRolePunter,MapRolePuntreturner,FootballPuntYards,MapRoleSacker1,MapRoleSacker2,MapRolePassDefender,FootballTimeoutTeamId,FootballPuntRetYards,MapRoleQbHitter,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,MapRoleInterceptor,FootballMiscScore_MiscScoreType,FootballMiscScore_TeamId,FootballMiscScore_PlayerId,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,1,1681599850.37906,,2023-04-15 19:04:10.379060,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,10005,2302034-ORL-at-SA,900,1800,3600,15:00,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,3,1681599856.0,65056,2023-04-15 19:04:16.000000,EventFootballKickoff,"FROM SA 30 (15:00) 23 P. Romo kicks from SA 30. 10 D. Thomas to ORL 27 for 19 yards (44 M. Scott, 3 B. Davis)",,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,1,2302034-ORL-at-SA,900,1800,3600,15:00,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,22726,20362,21775,21891,StatusOfficial,ResultKickReturned,19.0,Visitor,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,5,1681599913.0,65113,2023-04-15 19:05:13.000000,EventFootballRush,"1-10-ORL 27 (14:51) 26 D. Darrington rush to ORL 32 for 5 yards (33 D. Beesley, 15 J. Williams)",,True,1,14,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,2,2302034-ORL-at-SA,891,1791,3591,14:51,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Visitor,27,1,73.0,0,0,0,21740,21974,,,StatusOfficial,,,,,20357,1.0,10.0,5.0,Visitor,27.0,1.0,5.0,0:31, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,7,1681599945.0,65145,2023-04-15 19:05:45.000000,EventFootballRush,"2-5-ORL 32 (14:19) 26 D. Darrington rush to ORL 36 for 4 yards (14 D. Buckrham, 95 K. Tongamoa)",,True,1,14,19,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,3,2302034-ORL-at-SA,859,1759,3559,14:19,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Visitor,32,1,68.0,0,0,0,20222,22778,,,StatusOfficial,,,,,20357,2.0,5.0,4.0,Visitor,27.0,2.0,9.0,0:52, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,9,1681599983.0,65183,2023-04-15 19:06:23.000000,EventFootballPass,"3-1-ORL 36 (13:41) 12 Q. Dormady pass to 80 R. Becker to SA 47 for 17 yards (15 J. Williams, 26 J. Houston)",,True,1,13,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,4,2302034-ORL-at-SA,821,1721,3521,13:41,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Visitor,36,1,64.0,0,0,0,21974,21867,,,StatusOfficial,ResultPassComplete,,,,,3.0,1.0,17.0,Visitor,27.0,3.0,26.0,1:43, ,20407,20105,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,11,1681600015.0,65215,2023-04-15 19:06:55.000000,EventFootballRush,"1-10-SA 47 (13:09) 26 D. Darrington rush to SA 30 for 17 yards (15 J. Williams, 26 J. Houston)",,True,1,13,9,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,5,2302034-ORL-at-SA,789,1689,3489,13:09,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Home,47,1,47.0,0,0,0,21974,21867,,,StatusOfficial,,,,,20357,1.0,10.0,17.0,Visitor,27.0,4.0,43.0,2:10, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,13,1681600054.0,65254,2023-04-15 19:07:34.000000,EventFootballPass,1-10-SA 30 (12:30) 12 Q. Dormady pass to 10 D. Thomas to SA 25 for 5 yards (26 J. Houston),,True,1,12,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,6,2302034-ORL-at-SA,750,1650,3450,12:30,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,21867,,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,5.0,Visitor,27.0,5.0,48.0,2:42, ,20407,21891,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,15,1681600098.0,65298,2023-04-15 19:08:18.000000,EventFootballPenalty,"2-5-SA 25 (11:50) PENALTY on (SA) 26 J. Houston, 21 yards",,True,1,11,50,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,7,2302034-ORL-at-SA,710,1610,3410,11:50,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Home,25,1,25.0,0,0,0,,,,,StatusOfficial,,,,,,2.0,5.0,,Visitor,27.0,5.0,69.0,3:10, ,,,3,21867,21.0,ResultPenaltyAuto1Stdown,NA,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,17,1681600158.0,65358,2023-04-15 19:09:18.000000,EventFootballPass,"1-4-SA 4 (11:34) 12 Q. Dormady pass to 81 J. Thomas for 4 yards, TOUCHDOWN",,True,1,11,34,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,8,2302034-ORL-at-SA,694,1594,3394,11:34,4,,,0.0,ORL,SA,0.0,3,3,3.0,3.0,Home,4,1,4.0,0,0,0,,,,,StatusOfficial,ResultPassComplete,,,,,1.0,4.0,4.0,Visitor,27.0,6.0,73.0,3:26,TD,20407,21546,,,,,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,ORL,4,SA,3,outdoors,19,1681600184.0,65384,2023-04-15 19:09:44.000000,EventFootballPat2PtPass,FROM SA 5 (11:34) 12 Q. Dormady 2-pt conversion pass to 81 J. Thomas GOOD,,True,1,11,34,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_15_ORL@SA,,QBStat,9,2302034-ORL-at-SA,694,1594,3394,11:34,4,,,0.0,ORL,SA,0.0,3,2,3.0,3.0,Home,5,1,5.0,0,6,0,,,,,StatusOfficial,ResultPassComplete,,,,,,,0.0,,,,,,,20407,21546,,,,,,ScoreTypeConv,2.0,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
