Season,OfficialID,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,DOB,POB,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,Headshot,Initials,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus,Week
2023,20017,42.0,Otaro,Alaka,,LB,,O. Alaka,6030.0,1996-05-18,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Otaro_Alaka_20017.png,,Texas A&M,Active,2
2023,20041,14.0,Kevin,Anderson,,QB,,K. Anderson,6007.0,1994-09-14,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kevin_Anderson_20041.png,,Fordham,Active,2
2023,20050,19.0,Brandon,Arconado,,WR,,B. Arconado,5116.0,1997-08-08,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Arconado_20050.png,,Washington St,Active,2
2023,20089,72.0,T.J.,Barnes,,DL,,T. Barnes,6062.0,1990-06-14,,,,,,,,,,1,,,,Georgia Tech,Active,2
2023,20099,41.0,De Vante,Bausby,,DB,,D. Bausby,6005.0,1993-01-15,,,,,,,,,,1,,,,Pittsburg St-Ks,Active,2
2023,20123,88.0,Shaun,Beyer,,TE,,S. Beyer,6047.0,1996-11-11,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Shaun_Beyer_20123.png,,Iowa,Active,2
2023,20212,29.0,Shakur,Brown,,DB,,S. Brown,5096.0,1999-04-01,,,,,,,,,,1,,,,Michigan St,Active,2
2023,20270,22.0,Jamal,Carter,,DB,,J. Carter,6007.0,1994-04-12,,,,,,,,,,1,,,,Miami-Fl,Active,2
2023,20296,45.0,Will,Clarke,,DL,,W. Clarke,6061.0,1991-05-04,,,,,,,,,,1,,,,West Virginia,Active,2
2023,20331,58.0,Doug,Costin,,DL,,D. Costin,6020.0,1997-10-05,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Doug_Costin_20331.png,,Miami-Oh,Active,2
2023,20448,15.0,Alex,Ellis,,TE,,A. Ellis,6044.0,1993-02-10,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Alex_Ellis_20448.png,,Tennessee,Active,2
2023,20496,64.0,Brian,Folkerts,,OL,,B. Folkerts,6035.0,1990-01-30,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Folkerts_20496.png,,Washburn,Active,2
2023,20502,23.0,Keith,Ford,,RB,,K. Ford,5101.0,,,,,,,,,,,1,,,,Texas A&M,Active,2
2023,20589,37.0,Nasir,Greer,,DB,,N. Greer,6006.0,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nasir_Greer_20589.png,,Wake Forest,Reserve List,2
2023,20654,28.0,Josh,Hawkins,,DB,,J. Hawkins,5104.0,1993-01-23,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hawkins_20654.png,,East Carolina,Active,2
2023,20693,5.0,Will,Hill,,DB,,W. Hill,6006.0,1990-03-07,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Hill_20693.png,,Florida,Active,2
2023,20722,70.0,Mike,Horton,,OL,,M. Horton,6032.0,1996-10-07,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mike_Horton_20722.png,,Auburn,Active,2
2023,20735,56.0,Cameron,Hunt,,OL,,C. Hunt,6037.0,1994-12-17,,,,,,,,,,1,,,,Oregon,Active,2
2023,20889,12.0,Adrian,Killins,,RB,,A. Killins,5073.0,1998-01-02,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adrian_Killins_20889.png,,Central Florida,Active,2
2023,20891,0.0,Marquette,King,,P,,M. King,6001.0,1988-10-26,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Marquette_King_20891.png,,Fort Valley St,Active,2
2023,20919,6.0,Davonte,Lambert,,DL,,D. Lambert,6014.0,1994-06-23,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Davonte_Lambert_20919.png,,Auburn,Active,2
2023,20931,48.0,Tomasi,Laulile,,DL,,T. Laulile,6026.0,1995-05-22,,,,,,,,,,1,,,,Brigham Young,Active,2
2023,20939,61.0,Darta,Lee,,OL,,D. Lee,6034.0,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Darta_Lee_20939.png,,UTEP,Active,2
2023,20944,,Jessie,Lemonier,,LB,,J. Lemonier,6016.0,1997-01-31,,,,,,,,,,1,,,,Liberty,Reserve List,2
2023,21040,55.0,Garrett,McGhin,,OL,,G. McGhin,6061.0,1994-10-13,,,,,,,,,,1,,,,East Carolina,Active,2
2023,21094,77.0,George,Moore,,OL,,G. Moore,6056.0,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/George_Moore_21094.png,,Oregon,Active,2
2023,21129,3.0,Flynn,Nagel,,WR,,F. Nagel,5112.0,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Flynn_Nagel_21129.png,,Northwestern,Reserve List,2
