Season,OfficialID,VisOrHome,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,Weight,DOB,POB,Age,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,GfxId,Headshot,IsStarting,Initials,Scratch,TrackingId,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus
2023,21609,Home,0,Kary,Vincent,,DB,,K. Vincent,"5'9""",185,2/27/1999,,23,,,,,,,,,,,,,2,,,,,
2023,20229,Home,1,Deontay,Burnett,,WR,,D. Burnett,"5'11""",185,10/4/1997,,25,,,,,,,1,,True,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deontay_Burnett_20229.png,,,
2023,20241,Home,2,Cedric,Byrd,,WR,,C. Byrd,"5'9""",173,,,,,,,,,,2,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cedric_Byrd_20241.png,,,
2023,20633,Home,3,Ajene,Harris,,DB,,A. Harris,"5'10""",181,6/2/1996,,26,,,,,,,3,,True,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ajene_Harris_20633.png,,,
2023,20445,Home,5,Kaleb,Eleby,,QB,,K. Eleby,"6'0""",206,3/13/2000,,22,,,,,,,5,,,,True,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kaleb_Eleby_20445.png,,,
2023,20642,Home,6,Travell,Harris,,WR,,T. Harris,"5'7""",185,,,,,,,,,,6,,True,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travell_Harris_20642.png,,,
2023,20424,Home,8,Hunter,Duplessis,,K,,H. Duplessis,"5'8""",204,,,,,,,,,,8,,,,,,2,,,,,
2023,20707,Home,9,Nick,Holley,,WR,,N. Holley,"5'9""",196,12/5/1994,,28,,,,,,,9,,True,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nick_Holley_20707.png,,,
2023,21441,Home,10,Justin,Smith,,WR,,J. Smith,"6'0""",171,,,,,,,,,,10,,,,True,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Justin_Smith_21441.png,,,
2023,20107,Home,11,Tavante,Beckett,,LB,,T. Beckett,"5'10""",220,10/21/1997,,25,,,,,,,11,,True,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Tavante_Beckett_20107.png,,,
2023,21984,Home,12,Brandon,Silvers,,QB,,B. Silvers,"6'2""",224,,,,,,,,,,12,,True,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Silvers_21984.png,,,
2023,20896,Home,13,Jontre,Kirklin,,WR,,J. Kirklin,"5'11""",184,,,,,,,,,,13,,True,,,,2,,,,,
2023,21982,Home,14,Cole,McDonald,,QB,,C. McDonald,"6'3""",215,5/20/1998,,24,,,,,,,14,,,,,,2,,,,,
2023,22299,Home,15,Nate,Wieland,,LB,,N. Wieland,"6'4""",234,,,,,,,,,,15,,True,,,,2,,,,,
2023,21536,Home,16,Raleigh,Texada,,DB,,R. Texada,"5'10""",191,,,,,,,,,,16,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Raleigh_Texada_21536.png,,,
2023,20801,Home,17,Deandre,Johnson,,LB,,D. Johnson,"6'2""",252,,,,,,,,,,17,,,,True,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deandre_Johnson_20801.png,,,
2023,21108,Home,18,Jordan,Mosley,,DB,,J. Mosley,"6'0""",201,,,,,,,,,,18,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Mosley_21108.png,,,
2023,21138,Home,19,Aaron,Nelson,,WR,,A. Nelson,"6'0""",180,,,,,,,,,,19,,,,,,2,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Aaron_Nelson_21138.png,,,
