Season,OfficialID,game_id,VisOrHome,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,Weight,DOB,POB,Age,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,GfxId,Headshot,IsStarting,Initials,Scratch,TrackingId,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus,Participated
2023,21968,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,0,Pita,Taumoepenu,,LB,,P. Taumoepenu,"6'1""",243,3/9/1994,,29.0,,,,,,,,,1.0,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Pita_Taumoepenu_21968,,Utah,Active,1.0
2023,22876,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,2,Brett,Hundley,,QB,,B. Hundley,"6'3""",226,,,,,,,,,,2.0,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Brett_Hundley_22876,,UCLA,Active,1.0
2023,21022,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,3,Jalan,McClendon,,QB,,J. McClendon,"6'4""",212,,,,,,,,,,3.0,,,,1.0,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Jalan_McClendon_21022,,Baylor,Active,
2023,20218,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,4,Martavis,Bryant,,WR,,M. Bryant,"6'3""",211,12/20/1991,,31.0,,,,,,,4.0,,1.0,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Martavis_Bryant_20218,,Clemson,Active,1.0
2023,21570,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,5,DeAndre,Torrey,,RB,,D. Torrey,"5'7""",201,,,,,,,,,,5.0,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/DeAndre_Torrey_21570,,North Texas,Reserve List,1.0
2023,21943,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,6,Keylon,Kennedy,,DB,,K. Kennedy,"5'11""",185,,,,,,,,,,6.0,,1.0,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Keylon_Kennedy_21943,,Garden City Cc,Active,1.0
2023,21872,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,8,John,Lovett,,RB,,J. Lovett,"5'11""",215,,,,,,,,,,8.0,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/John_Lovett_21872,,Penn St,Active,1.0
2023,20039,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,9,Deontay,Anderson,,DB,,D. Anderson,"6'1""",218,,,,,,,,,,9.0,,1.0,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Deontay_Anderson_20039,,Houston,Active,1.0
2023,21882,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,10,Mathew,Sexton,,WR,,M. Sexton,"5'9""",175,,,,,,,,,,10.0,,,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Mathew_Sexton_21882,,Eastern Michigan,Active,1.0
2023,21207,FOOTBALL_XFL_2023_3_25_STL@VGS,Home,12,Luis,Perez,,QB,,L. Perez,"6'2""",226,8/26/1994,,28.0,,,,,,,12.0,,1.0,,,,7,,https://res.cloudinary.com/xfl-production/image/upload/xfl-prod/headshots/Luis_Perez_21207,,Texas A&M-Commerce,Active,1.0
