Season,OfficialID,VisOrHome,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,Weight,DOB,POB,Age,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,GfxId,Headshot,IsStarting,Initials,Scratch,TrackingId,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus,Participated
2023,20891,Home,0,Marquette,King,,ST,,M. King,"6'0""",192,10/26/1988,,34,,,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Marquette_King_20891.png,,,,True
2023,21359,Home,1,Taylor,Russolino,,ST,,T. Russolino,"5'11""",172,5/23/1989,,33,,,,,,,1,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Taylor_Russolino_21359.png,,,,True
2023,22305,Home,2,Deveon,Smith,,RB,,D. Smith,"5'11""",243,11/8/1994,,28,,,,,,,2,,True,,,,1,,,,,,True
2023,21251,Home,4,Joe,Powell,,DB,,J. Powell,"6'0""",200,2/25/1994,,28,,,,,,,4,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joe_Powell_21251.png,,,,True
2023,20693,Home,5,Will,Hill,,DB,,W. Hill,"6'0""",205,3/7/1990,,32,,,,,,,5,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Hill_20693.png,,,,True
2023,20919,Home,6,Davonte,Lambert,,DL,,D. Lambert,"6'1""",285,6/23/1994,,28,,,,,,,6,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Davonte_Lambert_20919.png,,,,True
2023,22014,Home,8,Sean,Modster,,WR,,S. Modster,"5'10""",182,11/13/1995,,27,,,,,,,8,,,,,,1,,,,,,True
2023,21243,Home,9,Drew,Plitt,,QB,,D. Plitt,"6'2""",206,,,,,,,,,,9,,True,,,,1,,,,,,True
2023,21884,Home,10,Kyle,Sloter,,QB,,K. Sloter,"6'4""",211,2/7/1994,,29,,,,,,,10,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kyle_Sloter_21884.png,,,,
2023,21707,Home,11,Lujuan,Winningham,,WR,,L. Winningham,"6'3""",198,,,,,,,,,,11,,,,,,1,,,,,,True
2023,20889,Home,12,Adrian,Killins,,RB,,A. Killins,"5'7""",162,1/2/1998,,25,,,,,,,12,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adrian_Killins_20889.png,,,,True
2023,20041,Home,14,Kevin,Anderson,,QB,,K. Anderson,"6'0""",208,9/14/1994,,28,,,,,,,14,,,,True,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kevin_Anderson_20041.png,,,,
2023,20448,Home,15,Alex,Ellis,,TE,,A. Ellis,"6'4""",253,2/10/1993,,30,,,,,,,15,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Alex_Ellis_20448.png,,,,True
2023,22529,Home,16,Rannell,Hall,,DB,,R. Hall,"6'1""",210,,,,,,,,,,16,,,,True,,1,,,,,,
2023,21426,Home,17,Jordan,Smallwood,,WR,,J. Smallwood,"6'1""",220,1/18/1995,,28,,,,,,,17,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Smallwood_21426.png,,,,True
2023,22675,Home,18,Donald,Payne,,LB,,D. Payne,"6'0""",236,,,,,,,,,,18,,True,,,,1,,,,,,True
2023,20050,Home,19,Brandon,Arconado,,WR,,B. Arconado,"5'11""",192,8/8/1997,,25,,,,,,,19,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Arconado_20050.png,,,,True
2023,21798,Home,21,Cre'Von,LeBlanc,,DB,,C. LeBlanc,"5'9""",192,7/25/1994,,28,,,,,,,21,,,,,,1,,,,,,True
2023,20270,Home,22,Jamal,Carter,,DB,,J. Carter,"6'0""",218,4/12/1994,,28,,,,,,,22,,True,,,,1,,,,,,True
2023,20502,Home,23,Keith,Ford,,RB,,K. Ford,"5'10""",219,,,,,,,,,,23,,,,,,1,,,,,,True
2023,22302,Home,24,Darren,Evans,,DB,,D. Evans,"6'2""",179,,,,,,,,,,24,,,,,,1,,,,,,True
2023,22877,Home,25,Jordan,Miller,,DB,,J. Miller,"6'0""",190,,,,,,,,,,25,,,,True,,1,,,,,,
2023,20654,Home,28,Josh,Hawkins,,DB,,J. Hawkins,"5'10""",189,1/23/1993,,30,,,,,,,28,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hawkins_20654.png,,,,True
2023,20212,Home,29,Shakur,Brown,,DB,,S. Brown,"5'9""",185,4/1/1999,,23,,,,,,,29,,True,,,,1,,,,,,True
2023,21318,Home,30,Edmond,Robinson,,LB,,E. Robinson,"6'2""",245,2/23/1992,,30,,,,,,,30,,,,True,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Edmond_Robinson_21318.png,,,,
2023,21379,Home,36,Colin,Schooler,,LB,,C. Schooler,"5'11""",229,,,,,,,,,,36,,,,,,1,,,,,,True
2023,20099,Home,41,De Vante,Bausby,,DB,,D. Bausby,"6'0""",177,1/15/1993,,30,,,,,,,41,,True,,,,1,,,,,,True
2023,20017,Home,42,Otaro,Alaka,,LB,,O. Alaka,"6'3""",239,5/18/1996,,26,,,,,,,42,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Otaro_Alaka_20017.png,,,,True
2023,20296,Home,45,Will,Clarke,,DL,,W. Clarke,"6'6""",271,5/4/1991,,31,,,,,,,45,,True,,,,1,,,,,,True
2023,20931,Home,48,Tomasi,Laulile,,DL,,T. Laulile,"6'2""",291,5/22/1995,,27,,,,,,,48,,True,,,,1,,,,,,True
2023,22000,Home,49,Antonio,Ortiz,,ST,,A. Ortiz,"6'3""",247,,,,,,,,,,49,,,,,,1,,,,,,True
2023,22375,Home,50,Willie,Taylor,,LB,,W. Taylor,"6'2""",246,,,,,,,,,,50,,,,,,1,,,,,,True
2023,21913,Home,51,Aaron,Adeoye,,DL,,A. Adeoye,"6'6""",260,8/26/1993,,29,,,,,,,51,,True,,,,1,,,,,,True
2023,22024,Home,52,Isaiah,Graham-Mobley,,LB,,I. Graham-Mobley,"6'1""",229,,,,,,,,,,52,,,,,,1,,,,,,True
2023,22886,Home,53,Darnell,Sankey,,LB,,D. Sankey,"6'1""",246,,,,,,,,,,53,,,,True,,1,,,,,,
2023,21040,Home,55,Garrett,McGhin,,OL,,G. McGhin,"6'6""",316,10/13/1994,,28,,,,,,,55,,True,,,,1,,,,,,True
2023,20735,Home,56,Cameron,Hunt,,OL,,C. Hunt,"6'3""",293,12/17/1994,,28,,,,,,,56,,True,,,,1,,,,,,True
2023,20331,Home,58,Doug,Costin,,DL,,D. Costin,"6'2""",295,10/5/1997,,25,,,,,,,58,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Doug_Costin_20331.png,,,,True
2023,20496,Home,64,Brian,Folkerts,,OL,,B. Folkerts,"6'3""",310,1/30/1990,,33,,,,,,,64,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Folkerts_20496.png,,,,True
2023,21479,Home,68,Jake,Stetz,,OL,,J. Stetz,"6'2""",302,5/30/1998,,24,,,,,,,68,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jake_Stetz_21479.png,,,,True
2023,20722,Home,70,Mike,Horton,,OL,,M. Horton,"6'3""",325,10/7/1996,,26,,,,,,,70,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mike_Horton_20722.png,,,,True
2023,21922,Home,71,Josiah,Coatney,,DL,,J. Coatney,"6'3""",308,1/4/1996,,27,,,,,,,71,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josiah_Coatney_21922.png,,,,True
2023,20089,Home,72,T.J.,Barnes,,DL,,T. Barnes,"6'6""",369,6/14/1990,,32,,,,,,,72,,,,,,1,,,,,,True
2023,21845,Home,73,Willie,Beavers,,OL,,W. Beavers,"6'4""",321,10/2/1993,,29,,,,,,,73,,,,True,,1,,,,,,
2023,21094,Home,77,George,Moore,,OL,,G. Moore,"6'5""",312,,,,,,,,,,77,,True,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/George_Moore_21094.png,,,,True
