Season,EventId,NowUTC,NowLTC,VisitorScore,HomeScore,Period,ClockMinutes,ClockSeconds,ClockTenths,ClockState,VisitorTimeoutsRemaining,HomeTimeoutsRemaining,VisitorChallengesRemaining,HomeChallengesRemaining,VisitorQuarterScore_1,VisitorQuarterScore_2,VisitorQuarterScore_3,VisitorQuarterScore_4,HomeQuarterScore_1,HomeQuarterScore_2,HomeQuarterScore_3,HomeQuarterScore_4,EventStatusDetail,VisitorShots,HomeShots,EventStatus,OfficialCode,PeriodSecondsRemaining,PeriodSecondsElapsed,PlayClock,PlayClockTenths,BallOn,Down,Distance,PossTeam,DriveNum,VisitorQuarterScore_5,HomeQuarterScore_5
2023,FOOTBALL_XFL_2023_3_25_SEA@ORL,1679775011.9504101,0,26,19,4,0,0,0,ClockStateStopped,2,0,0,0,3,6.0,8.0,9.0,0,10.0,6.0,3.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302021-SEA-at-ORL,0.0,900.0,34,0,V35,1,10,V,26,,
2023,FOOTBALL_XFL_2023_3_25_STL@VGS,1679795179.2883556,0,29,6,4,0,0,0,ClockStateStopped,3,0,0,0,0,17.0,6.0,6.0,0,0.0,0.0,6.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302022-STL-at-VGS,0.0,900.0,35,0,H49,3,12,V,21,,
2023,FOOTBALL_XFL_2023_3_26_SA@ARL,1679867047.5708935,0,15,9,4,0,0,0,ClockStateStopped,1,0,0,0,3,6.0,0.0,6.0,0,0.0,9.0,0.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302023-SA-at-ARL,0.0,900.0,23,0,H36,2,11,V,26,,
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,1679968455.5699606,0,26,37,4,0,0,0,ClockStateStopped,0,3,0,0,8,0.0,6.0,12.0,3,14.0,9.0,11.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302024-HOU-at-DC,0.0,900.0,35,0,V17,2,11,H,21,,
2023,FOOTBALL_XFL_2023_3_31_SEA@ARL,1680313557.86507,0,24,15,4,0,0,0,ClockStateStopped,3,0,0,0,3,18.0,0.0,3.0,3,6.0,0.0,6.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302025-SEA-at-ARL,0.0,900.0,0,0,H30,4,3,V,16,,
2023,FOOTBALL_XFL_2023_4_1_SA@VGS,1680386907.1936238,0,12,26,4,0,0,0,ClockStateStopped,1,2,0,0,6,6.0,0.0,0.0,8,11.0,7.0,0.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302027-SA-at-VGS,0.0,900.0,14,0,H32,2,12,H,22,,
2023,FOOTBALL_XFL_2023_4_1_DC@ORL,1680397612.9880545,0,36,37,4,0,0,0,ClockStateStopped,0,0,0,0,14,8.0,6.0,8.0,12,6.0,13.0,6.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302028-DC-at-ORL,0.0,900.0,18,0,V47,1,10,H,24,,
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,1680469106.6271353,0,24,15,4,0,0,0,ClockStateStopped,2,0,0,0,6,11.0,0.0,7.0,0,9.0,0.0,6.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302026-STL-at-HOU,0.0,900.0,25,0,H47,4,13,V,22,,
2023,FOOTBALL_XFL_2023_4_8_VGS@STL,1680984441.8285549,0,17,21,5,0,0,0,ClockStateStopped,1,1,0,0,8,3.0,0.0,6.0,0,8.0,0.0,9.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302029-VGS-at-STL,0.0,0.0,17,0,H5,0,0,V,24,0.0,4.0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,1680995974.4283533,0,18,16,4,0,0,0,ClockStateStopped,0,2,0,0,9,3.0,6.0,0.0,3,6.0,0.0,7.0,EventStatusDetailNone,0,0,Finished,2302030-ARL-at-ORL,0.0,900.0,13,0,H44,2,12,V,23,,
2023,FOOTBALL_XFL_2023_4_9_HOU@SA,1681078564.4264684,0,17,15,5,0,0,0,ClockStateStopped,1,1,0,0,6,3.0,6.0,0.0,3,3.0,0.0,9.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302031-HOU-at-SA,0.0,0.0,21,0,H5,0,0,V,31,2.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,1681094603.382521,0,34,33,4,0,0,0,ClockStateStopped,1,1,0,0,8,8.0,6.0,12.0,0,6.0,9.0,18.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302032-DC-at-SEA,0.0,900.0,21,0,H27,3,12,V,24,,
2023,FOOTBALL_XFL_2023_4_15_VGS@HOU,1681587840.4944317,0,21,28,4,0,0,0,ClockStateStopped,0,2,0,0,6,6.0,0.0,9.0,0,6.0,13.0,9.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302033-VGS-at-HOU,0.0,900.0,25,0,H18,4,1,V,24,,
2023,FOOTBALL_XFL_2023_4_15_ORL@SA,1681610641.84513,0,23,25,4,0,0,0,ClockStateStopped,0,2,0,0,8,6.0,0.0,9.0,0,10.0,9.0,6.0,EventStatusDetailNone,0,0,ApprovedOfficial,2302034-ORL-at-SA,0.0,900.0,0,0,V30,4,9,H,20,,
2023,FOOTBALL_XFL_2023_4_16_SEA@STL,1681663080.46408,0,0,0,1,15,0,0,ClockStateStopped,3,3,0,0,0,,,,0,,,,EventStatusDetailNone,0,0,WaitingForStart,2302036-SEA-at-STL,900.0,0.0,0,0,H35,1,10,H,0,,
2023,FOOTBALL_XFL_2023_4_16_ARL@DC,1681663080.5226047,0,3,6,1,0,2,0,ClockStateStopped,3,2,0,0,3,,,,6,,,,EventStatusDetailGamePlay,0,0,InProgress,2302035-ARL-at-DC,2.0,898.0,33,0,H34,2,10,H,4,,
